Start (ns),Stop (ns),Duration (ns),CID
991075980299,991076100799,120500,QmXyS9CJpS84HGnea4mGxJijwqpE9mc2DxhJxkUKhu7mbz
991076459392,991076463379,3987,Qmd23vMcccY1edn2C7a2CcjsHwoF4vuZjoS5Ht7uB7nq8F
991076619075,991076621395,2320,QmcF2YDVSKy54PEY68ytrLNKDpxDHLSWqeTpAFkkQSnSQ3
991076741334,991076761827,20493,QmSjsC7rUHsZ3imEUfb1a6CBFfiM4LUNpDPP43yC8XBKBb
991076926087,991076932089,6002,QmNs2SiR3ktBXRRxghJR2kK9o6Ry2fGQL9R3KKVArT5N8x
991077225606,991077229623,4017,QmbWiz1ufmMH58WbhcS966zM96W497utrRY5kK5PRhNdsE
991077391433,991077394556,3123,QmTfVkTvMBRsJLrAbuuRtP2HysHtaJqieVzKGzDC3u1Yyk
991077552091,991077554783,2692,Qmex7aq61AgqKjh7e9tjv6Zf1XAQtBqo1L2HbjQRP2LABF
991077678363,991077695897,17534,QmdofPYeAVMrFwbrVccKjoc22asvr5FFCfkfEx7Eyjcbk7
991077940339,991077943588,3249,Qmbpk4ANWzHFTFZBWCUBxdNUijQLKUFch95cMPWnnGFYnJ
991078079945,991078081718,1773,QmbWAR56XpiEh4sKBbgGXhCNJoJmq5nYdJ2eeewEUJXcdP
991078394215,991078396975,2760,QmWhuduC7B714bmLD8MRjtx6LzyuZdftW7QYJDBUB6KSfa
991078533073,991078539534,6461,QmWJuf4DhEkJEoQKABAyh1e2QfaqqhDKsH4Z3jRTFM7SRV
991078643398,991078645062,1664,QmcstRxU8xoTH2Ydbi2NLqcxtXzq6ubGroCoaPV4RPgmXo
991078741862,991078743286,1424,QmbTXqdPzLHivZBWL1PXCHAeAp1TEpTqTYuE6Bc9gyu89p
991078857716,991078860046,2330,QmddPZ7hYY4Xk3ihxiBB8Vwqv3RTmBnLNHVny5AwtH48C9
991078962424,991078980915,18491,QmZan49MonLYEJggvHF7VPzSbB7Tgxjm57VnLnHNtzXhco
991079224790,991079227753,2963,QmfDmfx3ZfFVT92KatJ4zMRDhBEyLiZc3Ks5TVTdWr1yLQ
991079353115,991079354691,1576,QmVEL5C3k8cw2H2XSkruoAxi22pz2eZAhxSZkTiDkRVXc6
991079455915,991079457485,1570,QmSGDbwDdr69opQTM1r52QSVoSiNQrqkZ3BDRxSHHXsNGy
