Start (ns),Stop (ns),Duration (ns)
830976234827,833024103513,2047868686
833091855136,834740465924,1648610788
834790911819,836657683050,1866771231
836725935717,838468673051,1742737334
838540190422,842196940116,3656749694
842249698588,843773180322,1523481734
843834990619,845522026222,1687035603
845573429837,847184268826,1610838989
847248142441,848952160584,1704018143
849022587625,850723671428,1701083803
850794956846,854261448622,3466491776
854329668485,855994490650,1664822165
856061013263,858557825218,2496811955
858628252884,860095054783,1466801899
860162848793,861665653767,1502804974
861735108126,863524237178,1789129052
863572074518,865221486927,1649412409
865291592264,868134497762,2842905498
868203602193,869707080136,1503477943
869753989859,871941911882,2187922023
872008122076,873734381271,1726259195
873802014212,875364244422,1562230210
875429930540,877443045578,2013115038
877496980808,879597899060,2100918252
879668406044,883182894350,3514488306
883252941274,884797124323,1544183049
884867635400,886645411464,1777776064
886695569337,890454501997,3758932660
890507010878,892027508530,1520497652
892079780729,894996642214,2916861485
895044260065,896382936408,1338676343
896455005708,898249355350,1794349642
898318055027,901799466285,3481411258
901851594919,903338599654,1487004735
903407969263,905219820110,1811850847
905271456028,908881561264,3610105236
908947500274,910464534901,1517034627
910531620078,913808570454,3276950376
913862533818,915389244205,1526710387
915462333069,917245417516,1783084447
917315139817,919314441391,1999301574
919367057013,921234919395,1867862382
921287292397,925040494682,3753202285
925093568136,926621984964,1528416828
926669880009,928357702730,1687822721
928431007196,930363173011,1932165815
930433022508,932097709933,1664687425
932168297002,935198708757,3030411755
935269385917,936853113690,1583727773
936925368064,938517782101,1592414037
938570917142,942650597227,4079680085
942719520795,944117887293,1398366498
944193937130,946026673471,1832736341
946078972946,947863284466,1784311520
947930929689,949782781756,1851852067
949836443235,952734612799,2898169564
952782105096,954182351295,1400246199
954233930207,955656645006,1422714799
955707006001,959310411266,3603405265
959380481794,960866489327,1486007533
960918896607,962438003686,1519107079
962503153333,964181705085,1678551752
964253807457,967098966711,2845159254
967188455050,968654806302,1466351252
968726343651,970203487573,1477143922
970256854105,972413127461,2156273356
972479349710,974486897713,2007548003
974558565710,976030420094,1471854384
976083546076,978785373248,2701827172
978836512901,980238893670,1402380769
980288946422,981699468006,1410521584
981769690002,983477070150,1707380148
983548254836,985186160766,1637905930
985254917605,988809856895,3554939290
988861254325,990391051784,1529797459
990463725410,992145655413,1681930003
992216857963,994711986488,2495128525
994777213621,996343145988,1565932367
996416810743,998329138277,1912327534
998389372335,1000248270082,1858897747
1000313465456,1002601147075,2287681619
1002648328907,1006017109722,3368780815
1006070225688,1007504483198,1434257510
1007559411016,1009375272648,1815861632
1009445026787,1011204455544,1759428757
1011274323043,1013453606453,2179283410
1013505757452,1016302334116,2796576664
1016352570475,1017838950177,1486379702
1017888765851,1019590659698,1701893847
1019660803073,1022362560287,2701757214
1022408320789,1023949508374,1541187585
1024018863533,1026799857633,2780994100
1026869246473,1028876089340,2006842867
1028951051822,1030734385833,1783334011
1030806372518,1032484163559,1677791041
1032537059534,1034529395205,1992335671
1034598929762,1038655238222,4056308460
1038706671440,1040161274588,1454603148
1040212265758,1041919908070,1707642312
1041969439339,1043646781479,1677342140
