Start (ns),Stop (ns),Duration (ns),CID
4358687741314,4358687898745,157431,QmRPnKGmfFjE8LyfiAsJTvJtFYEa5UeYxbnyV449NrwVxw
4358688320023,4358688324711,4688,QmUuh3gxbM5eKQqSjM1xZi4k13tFJHjCq8ketarGgg5FKv
4358688516239,4358688520869,4630,QmXnNwNTQmtDuLsEuFXWCH3wxaBbd2QTghjZhCSXU1MHHb
4358688721486,4358688726648,5162,QmVD7nvEdawAcsyEML81DcVGwDvta26gPs2kHMBk3im4LP
4358688947034,4358688955804,8770,Qmabju1EKuWuVaN86iP1CPxgRg5uDYaEWwn8LERXeZJABA
4358689373491,4358689378979,5488,QmYMFckt88DhoGpchN78oGtEbB1t8UT6bQAdfL7SU8UQAv
4358689612760,4358689619252,6492,QmSqqvB4iwwC4ZVt3dYBFA5EJVoPuL4psMf1hjKJtMfbwx
4358689809046,4358689812879,3833,QmSMwdrWeV2aoKNbMr3VvfkhKLxPwRdYYpDEXwXEC3ijnD
4358689982241,4358689986061,3820,QmTmVsquTzBjoNR5b4S3W937jLwFxVUZeTnXYxKJKm6CHm
4358690403910,4358690409453,5543,QmTExuLNxC1JfHsPdnCSRYRpGP3x4MdcT5nhALGd3DHPHa
4358690579523,4358690582126,2603,QmY1QMsqEW3ds8No2p5gQQCuVBpT4k7dq7WDz8kk8Yy5tC
4358690893958,4358690896726,2768,QmNUkwkQjFhogNuvMAdhKTqmvYQSG78kVy2kX2zR7xSuL5
4358691005202,4358691007118,1916,QmVhJ9tvJka4x99KY5KVm8tfCvC1nHfuTdB3hFazeGHKsC
4358691099840,4358691101580,1740,QmTao7edeRuJDii9qkYW2N2wTfDQ6sM3XbBAPbFfzNpLvC
4358691207836,4358691210230,2394,QmZGrpC4h1XWeu1AsYqEUx8UA5iuSbyYQ2XSr7nPEExkS2
4358691305976,4358691307508,1532,Qme4MHcGKkGMeUMWYBYk1E8oMK8FSbvbTeCtdaaHW9e3NW
4358691389182,4358691390628,1446,QmYD2tNp3rbwhQM9z91UQyyGmMXjsc356Vrrkc9WQzD5Wx
4358691587564,4358691589982,2418,QmabeSUzUG9L88bc1ZFJ7D7WXEysDsWjKRBVDftt8Um6gU
4358691691550,4358691693141,1591,QmbMcecuFemTofwwUSwURDPKPzknBNedm93bCUZsGNtj1Y
4358691788046,4358691789537,1491,QmTczTNyttzArVysJm4GqJ7DC1czmJ529UqBuuUVSCT5nH
