Start (ns),Stop (ns),Duration (ns),CID
2972596516154,2972750328335,153812181,QmV9K1WmEmfasahGTCM3HHfFHsLBn2z4XM3etTrWKnaT8u
2975755405887,2975850810987,95405100,QmeZZSUesGdtZRVEXBY7FMaSVBq9DxnKNrjU7pn3oZCoj6
2978854192508,2979087153453,232960945,QmdkeF6RGHBZheJVZ4BRW9XhbEK95ZuRa9nYA3oonGXU8M
2982091605977,2982419958554,328352577,QmXUX9SiyyfqXg2KvHdmKaA919nTVyK5tj6vbAWzRH9qWT
2985423672927,2985601675226,178002299,QmfNE8j7bzQkuntBr7T9Qi5b5HRxfuo49nmdRvXLfF85v5
2988602545406,2988782486305,179940899,QmY9DJst39PsY3YUPM4mPxwAKjpNnSvNwpZvBYuJZyNzP5
2991786312639,2992117086290,330773651,QmXMm4vLCk2ZkGV9ZNJL7MenBbqsDR5ELQP3u2U6MM721S
2995121751696,2995355409134,233657438,QmXCrFrrZKqDXHaZfZKYnoqWH95q5g71SHiZbEetFeFfMw
2998358509498,2998549224001,190714503,QmaMLwxH8pZc2a3kCA6rsHsjbKvFa8unaHEqNbyx5MSai2
3001553205104,3001727047863,173842759,QmfL219RU3UDfbpvD1w7cRsv6d66LNji2N1pEatSoXyiGs
3004729836055,3004992739141,262903086,QmVdXgdSCany1y8yVBvAUR1hZ4DSNycnwQfxUpFHCvqaJG
3007996564876,3008239506379,242941503,QmUZ3VnJLFFV9B89N4FTT6NcSmNXbTauqnvUL7JHN4CRY9
3011243388328,3011589165486,345777158,QmW4mRcidKyX1R2ZQJujLiAWmYxsbNzEKctwTgipTYUzbq
3014592857618,3014817341655,224484037,QmRD2Pj7UtCUTDbd7XyjXRpSLZCEjWu1CCYyHpk1rjG4Q3
3017820980760,3018036585561,215604801,QmY5sAhbj6X7ELm1x7qpGcGy9rzgZnUa44QUTETHP3YPnC
3021040232345,3021392090373,351858028,QmZ8RcLUCLZj41HahRNrwaAFa3nHX94nUPTVkrDxKMw2Tp
3024395802531,3024625878143,230075612,QmdmUJ82iuRYk2N2M4EGsn3ULYuauUvrP9qBCWpqPMFC3u
3027629312603,3028280991565,651678962,Qme2V7MyedJ4xBBiVyrUkWQqCoKQ7JaVw11KtPvTpbo9rP
3031287553529,3031742952032,455398503,QmeZWxsACffJjumRUo8daqPM4hDgNZPeqQ3bAvcKgXxnCX
3034747429895,3035083643123,336213228,QmTj1D4vtbpmaGBR9sL6emDvVR3rs5FEp9mfyHx6TmcWvD
