Start (ns),Stop (ns),Duration (ns),CID
5282809447168,5282809540300,93132,QmYqVhPjSKJbSvoe32LxFF29xPFC18p1tfHCo7BfXrkPwA
5282809866516,5282809871397,4881,QmV6dG1ZPLcB461PWuA7JBn1Nua62bdRMt48hCZWeavtse
5282810021340,5282810023680,2340,QmQ4bxvrXHVAo94MGx4vQcmSHLvuXNKaokYWGFokTvfoXz
5282810148630,5282810150595,1965,QmYG2YVHBgP8htUEwmfaSj6cidog9GEkad9Kr61J4CxPeA
5282810297857,5282810304041,6184,QmV9Uo6SFrWWFdjdavKksycxCqndaftBmdapJPxXALyfkv
5282810545657,5282810549152,3495,QmbsxFg68gJBHLzyduS4paY4rLHfumBc2qS5syn94isZ22
5282810684436,5282810687900,3464,QmZ4Fmg2LGnW5Vxsf83SeTt3XhevkT5GyQjL4Z4iGggtuZ
5282810812973,5282810816040,3067,QmPejbqGWskm1oeqgMMhHC8K2oktVo6PgrFhdJ6YqFU9Fv
5282810938444,5282810940270,1826,QmeLgGF188NHbhXnwa6VWfvLcVu1wuQL33fk6iEDYtW7cG
5282811158042,5282811160842,2800,QmaNPKxWHMsD5E8fGzLkq7RCQKrJuwJ57JcCJxMXNmddXJ
5282811273825,5282811275648,1823,QmXhDyXLjM3Szyex2Mz1K7Lya5M8Byg23tNTEyyznfJFXG
5282811524377,5282811526506,2129,QmPjQS5sNFmtiQn4QG9cVm3CcfpnJE1MmJ7tMK57bqRuKh
5282811628839,5282811630452,1613,QmZ953cnw9GyX7hXGee8fQZ1uzSm93uVWD7GoHDMeVjNqA
5282811721129,5282811722617,1488,QmaLJtRAwxCKwmL3KWYNyyZvNBK7XZo8dzXtJasgRvPBGB
5282811829458,5282811832278,2820,QmVkGySwaCmkbdM2Jo74rz6wnG3tSjvZkwFUc8GepefMnC
5282811950776,5282811952367,1591,QmVnhaQtXqBdYD8mcXDjKZxfzB4XynR1Zanpu8BKoqeidY
5282812036918,5282812038469,1551,QmW9hKDoT9Y9BaKqWZKDCGuBrMt5MTMktiUF8BRgURg3Bz
5282812266649,5282812269262,2613,QmNt8qtmfq2TSRtvtQDArCJrdZBW5hH4cfFd371usRrdVB
5282812378325,5282812379927,1602,QmXAuRHxvNZ5YwKArEf9Vi1iFuCMhSyUAfoWe73VVSX8HD
5282812479051,5282812480588,1537,QmPu46RBJr5ewRSz8vsHt9zRDxypaL127QWQZBb74NbpD4
