Start (ns),Stop (ns),Duration (ns),CID
4512912239880,4513245695468,333455588,QmRPnKGmfFjE8LyfiAsJTvJtFYEa5UeYxbnyV449NrwVxw
4516251811801,4516838980901,587169100,QmUuh3gxbM5eKQqSjM1xZi4k13tFJHjCq8ketarGgg5FKv
4519847521583,4520234222319,386700736,QmXnNwNTQmtDuLsEuFXWCH3wxaBbd2QTghjZhCSXU1MHHb
4523240005495,4523627634210,387628715,QmVD7nvEdawAcsyEML81DcVGwDvta26gPs2kHMBk3im4LP
4526634842962,4527164945243,530102281,Qmabju1EKuWuVaN86iP1CPxgRg5uDYaEWwn8LERXeZJABA
4530170727790,4531108437412,937709622,QmYMFckt88DhoGpchN78oGtEbB1t8UT6bQAdfL7SU8UQAv
4534114766177,4534393542510,278776333,QmSqqvB4iwwC4ZVt3dYBFA5EJVoPuL4psMf1hjKJtMfbwx
4537401182259,4537729769455,328587196,QmSMwdrWeV2aoKNbMr3VvfkhKLxPwRdYYpDEXwXEC3ijnD
4540735701065,4541242106514,506405449,QmTmVsquTzBjoNR5b4S3W937jLwFxVUZeTnXYxKJKm6CHm
4544248048901,4544562506487,314457586,QmTExuLNxC1JfHsPdnCSRYRpGP3x4MdcT5nhALGd3DHPHa
4547565918372,4547870913119,304994747,QmY1QMsqEW3ds8No2p5gQQCuVBpT4k7dq7WDz8kk8Yy5tC
4550876809170,4551237034285,360225115,QmNUkwkQjFhogNuvMAdhKTqmvYQSG78kVy2kX2zR7xSuL5
4554242476842,4554628012156,385535314,QmVhJ9tvJka4x99KY5KVm8tfCvC1nHfuTdB3hFazeGHKsC
4557634255653,4558153315963,519060310,QmTao7edeRuJDii9qkYW2N2wTfDQ6sM3XbBAPbFfzNpLvC
4561157266886,4561739399385,582132499,QmZGrpC4h1XWeu1AsYqEUx8UA5iuSbyYQ2XSr7nPEExkS2
4564745231192,4565239508411,494277219,Qme4MHcGKkGMeUMWYBYk1E8oMK8FSbvbTeCtdaaHW9e3NW
4568245299045,4568547679705,302380660,QmYD2tNp3rbwhQM9z91UQyyGmMXjsc356Vrrkc9WQzD5Wx
4571553466265,4571957165742,403699477,QmabeSUzUG9L88bc1ZFJ7D7WXEysDsWjKRBVDftt8Um6gU
4574962791450,4575300648125,337856675,QmbMcecuFemTofwwUSwURDPKPzknBNedm93bCUZsGNtj1Y
4578313414348,4579097475403,784061055,QmTczTNyttzArVysJm4GqJ7DC1czmJ529UqBuuUVSCT5nH
