Start (ns),Stop (ns),Duration (ns)
64937746286422,64942573326128,4827039706
64942573489592,64942994175729,420686137
64942994429257,64943394286593,399857336
64943394618841,64943913191569,518572728
64943913431994,64944317434949,404002955
64944317825307,64944845067707,527242400
64944845151119,64945393835425,548684306
64945394132839,64945872182175,478049336
64945872376125,64947246899917,1374523792
64947247061760,64948082493440,835431680
64948082682885,64953038672743,4955989858
64953038920665,64954887387148,1848466483
64954887686458,64955647228941,759542483
64955647444319,64960328291114,4680846795
64960328704391,64960710132307,381427916
64960710270952,64961056267048,345996096
64961056408753,64961397494241,341085488
64961397706273,64961808136012,410429739
64961808343093,64962741222655,932879562
64962741343454,64963188082507,446739053
64963188318596,64963576653498,388334902
64963576876171,64963955211275,378335104
64963955421267,64964363926230,408504963
64964364187243,64964796960906,432773663
64964797267107,64965196984812,399717705
64965197226154,64965614844368,417618214
64965615093908,64966006832439,391738531
64966007248899,64966406634961,399386062
64966406877500,64966804424466,397546966
64966804644993,64967255459655,450814662
64967255537529,64967646611223,391073694
64967646848861,64968008945000,362096139
64968009239481,64968402187883,392948402
64968402322618,64968766530387,364207769
64968766790010,64969135676457,368886447
64969135809464,64969536577961,400768497
64969536780270,64969929430955,392650685
64969929521304,64970567725001,638203697
64970567915483,64970987209955,419294472
64970987404379,64971378027416,390623037
64971378219288,64971823054579,444835291
64971823227862,64972286720087,463492225
64972286962895,64972749479019,462516124
64972749626943,64973446198233,696571290
64973446393648,64974642353870,1195960222
64974642495065,64975106802235,464307170
64975106944674,64975586714458,479769784
64975586915361,64976410127640,823212279
64976410256220,64976748656174,338399954
64976748762997,64977201240394,452477397
64977201344515,64977606236341,404891826
64977606426513,64977942163412,335736899
64977942290632,64978568780378,626489746
64978569041865,64978935812701,366770836
64978935938406,64979326617435,390679029
64979326828974,64979926929674,600100700
64979927160790,64980412980937,485820147
64980413667227,64980837924255,424257028
64980838141066,64981637362289,799221223
64981637430387,64982430946306,793515919
64982431098319,64983088827147,657728828
64983088920941,64983526753581,437832640
64983526932708,64984166475988,639543280
64984166753289,64984736782603,570029314
64984736977414,64985225552942,488575528
64985225621369,64985712131700,486510331
64985712264070,64986329081977,616817907
64986329276288,64986887357365,558081077
64986887559074,64987356658743,469099669
64987356838650,64988147503249,790664599
64988147686343,64989037581479,889895136
64989037767081,64989587169201,549402120
64989587352199,64989936480348,349128149
64989936546323,64990325791550,389245227
64990325914853,64990767790221,441875368
64990767968553,64991145249916,377281363
64991145388586,64991527761112,382372526
64991527889228,64991955557895,427668667
64991955671398,64992486843801,531172403
64992486962783,64992927937580,440974797
64992928213319,64994254596111,1326382792
64994254717573,64995047541671,792824098
64995047722115,64996683419792,1635697677
64996683604400,64997327724360,644119960
64997327904108,64997704729171,376825063
64997704942623,64998078346797,373404174
64998078596464,64998486883217,408286753
64998487087535,64999021800710,534713175
64999021977060,65000206297497,1184320437
65000206362900,65001166979369,960616469
65001167180812,65001650560593,483379781
65001650735481,65003477487465,1826751984
65003477677559,65004016674310,538996751
65004016793385,65004908630269,891836884
65004908705081,65005245336861,336631780
65005245517971,65005657112328,411594357
65005657237081,65006118313075,461075994
65006118493696,65007417972914,1299479218
65007418112587,65007851652215,433539628
65007851745435,65008309892659,458147224
