frame.time_epoch,ip.src,ip.dst,frame.protocols,frame.len
1686111051.027240000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,148
1686111051.027905000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,204
1686111051.043603000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686111051.059641000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686111051.067599000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686111051.094775000,35.203.211.245,10.184.0.7,sll:ethertype:ip:tcp,64
1686111051.094786000,10.184.0.7,35.203.211.245,sll:ethertype:ip:tcp,60
1686111051.207350000,193.163.125.79,10.184.0.7,sll:ethertype:ip:tcp,64
1686111051.207356000,10.184.0.7,193.163.125.79,sll:ethertype:ip:tcp,60
1686111052.400529000,10.184.0.7,169.254.169.254,sll:ethertype:ip:udp:ntp,96
1686111052.400862000,169.254.169.254,10.184.0.7,sll:ethertype:ip:udp:ntp,96
1686111056.274557000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp:ssh,116
1686111056.274587000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp,72
1686111056.274780000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,164
1686111056.359119000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686111056.758826000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp:ssh,108
1686111056.759047000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,212
1686111056.808804000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686111060.320201000,169.254.169.254,10.184.0.7,sll:ethertype:ip:tcp:http:json,2181
1686111060.320224000,10.184.0.7,169.254.169.254,sll:ethertype:ip:tcp,60
1686111060.320725000,10.184.0.7,169.254.169.254,sll:ethertype:ip:tcp:http,287
1686111060.320843000,169.254.169.254,10.184.0.7,sll:ethertype:ip:tcp,60
1686111060.320843000,169.254.169.254,10.184.0.7,sll:ethertype:ip:tcp,60
1686111060.523441000,169.254.169.254,10.184.0.7,sll:ethertype:ip:tcp:http:json,2181
1686111060.523453000,10.184.0.7,169.254.169.254,sll:ethertype:ip:tcp,60
1686111060.524104000,10.184.0.7,169.254.169.254,sll:ethertype:ip:tcp:http,288
1686111060.524146000,169.254.169.254,10.184.0.7,sll:ethertype:ip:tcp,60
1686111060.524220000,169.254.169.254,10.184.0.7,sll:ethertype:ip:tcp,60
