Start (ns),Stop (ns),Duration (ns)
583659200396,583701182674,41982278
583701303596,583730538732,29235136
583730666117,583774358370,43692253
583774492732,583808141719,33648987
583808250981,583835837627,27586646
583835949891,583863157575,27207684
583863322211,583890732313,27410102
583890835939,583912715240,21879301
583912824486,583933270579,20446093
583933374319,583954961409,21587090
583955062221,583977729662,22667441
583977848650,583999433547,21584897
583999659564,584021725860,22066296
584021843674,584041141758,19298084
584041248511,584063174281,21925770
584063294994,584086678407,23383413
584086946740,584108471420,21524680
584108706621,584127234192,18527571
584127336839,584148427645,21090806
584148538157,584169201355,20663198
584169304080,584191003087,21699007
584191108521,584212036530,20928009
584212144338,584233456254,21311916
584233564368,584254390147,20825779
584254522530,584275647433,21124903
584275750334,584296581987,20831653
584296687949,584318765251,22077302
584318865624,584342301708,23436084
584342409147,584361801850,19392703
584361911326,584382868210,20956884
584383071390,584403558518,20487128
584403667401,584424823892,21156491
584424932234,584445139933,20207699
584445246349,584466167858,20921509
584466270832,584489606688,23335856
584489829203,584510336994,20507791
584510442787,584531407163,20964376
584531517447,584552398654,20881207
584552513339,584574097841,21584502
584574204220,584594734286,20530066
584594850481,584616114188,21263707
584616226850,584637558443,21331593
584637668444,584658370029,20701585
584658481109,584679666915,21185806
584679796079,584699189591,19393512
584699306850,584716819837,17512987
584716936672,584736126569,19189897
584736236550,584754208525,17971975
584754318543,584772503140,18184597
584772615345,584790345618,17730273
584790535897,584817694481,27158584
584817949241,584842660066,24710825
584842895262,584865314101,22418839
584865431491,584885092732,19661241
584885352987,584903110680,17757693
584903293460,584920973460,17680000
584921103999,584939308882,18204883
584939549789,584957599842,18050053
584957711371,584975866969,18155598
584976023055,584994434277,18411222
584994574303,585009697912,15123609
585009830576,585025309195,15478619
585025444715,585041465570,16020855
585041607269,585056859717,15252448
585056999324,585072977731,15978407
585073109079,585088655170,15546091
585088798041,585104126682,15328641
585104260372,585119297878,15037506
585119433334,585134381900,14948566
585134534852,585149284630,14749778
585149418713,585164778914,15360201
585164909381,585179995129,15085748
585180292884,585192203147,11910263
585192349770,585204465619,12115849
585204592057,585217186467,12594410
585217322013,585229834803,12512790
585229970651,585242428699,12458048
585242557966,585254691976,12134010
585254822710,585267294652,12471942
585267417697,585279650548,12232851
585279784950,585292289886,12504936
585292403472,585309701402,17297930
585309922614,585323209334,13286720
585323455996,585340133437,16677441
585340362798,585356166147,15803349
585356387205,585370553575,14166370
585370781145,585384239049,13457904
585384445965,585397719102,13273137
585397936830,585411558771,13621941
585411794357,585425835454,14041097
585426045651,585439743442,13697791
585439975687,585453841882,13866195
585454136862,585468411834,14274972
585468637963,585481799389,13161426
585481917975,585494180021,12262046
585494423820,585507827182,13403362
585508052624,585521536665,13484041
585521766155,585535640330,13874175
585535848218,585549802423,13954205
585550035971,585564947405,14911434
