Start (ns),Stop (ns),Duration (ns)
1043649438691,1046371277968,2721839277
1046371524967,1048814899301,2443374334
1048815445395,1051790320871,2974875476
1051790455467,1054192423495,2401968028
1054192922465,1056065783910,1872861445
1056065898660,1057942272666,1876374006
1057942509046,1059951096104,2008587058
1059951252824,1061808476247,1857223423
1061808981645,1064333486079,2524504434
1064333631223,1067340682141,3007050918
1067341138634,1070302520067,2961381433
1070302766947,1073116561785,2813794838
1073116803918,1074962251571,1845447653
1074962440950,1076973160040,2010719090
1076973687256,1078571687831,1598000575
1078571808513,1080168693663,1596885150
1080168810220,1081992316545,1823506325
1081992459991,1084845799730,2853339739
1084846284777,1087745843104,2899558327
1087745987041,1090538590282,2792603241
1090538740394,1093170430234,2631689840
1093171189536,1095126347850,1955158314
1095126486761,1096924449925,1797963164
1096924687014,1098728534389,1803847375
1098728894368,1100621502602,1892608234
1100621664142,1102890449366,2268785224
1102891113800,1105741387368,2850273568
1105741650304,1108536020464,2794370160
1108536181591,1111434566933,2898385342
1111434926357,1113263769643,1828843286
1113263925073,1115066792280,1802867207
1115067395399,1116944187805,1876792406
1116944330476,1118927298225,1982967749
1118927815820,1120987734185,2059918365
1120988002077,1123314501308,2326499231
1123318180802,1126301162870,2982982068
1126301304401,1128402707356,2101402955
1128402977278,1130233449602,1830472324
1130233810793,1132044148283,1810337490
1132044458267,1134339783484,2295325217
1134340260989,1136779103699,2438842710
1136779263381,1139393709375,2614445994
1139394054820,1141411225828,2017171008
1141411407764,1143229519816,1818112052
1143229855196,1145915240204,2685385008
1145915627507,1147663725741,1748098234
1147664191408,1149383835417,1719644009
1149383957230,1151144177166,1760219936
1151144332160,1152914328491,1769996331
1152914701670,1154774257555,1859555885
1154774381112,1156522811466,1748430354
1156522969134,1158361287618,1838318484
1158361759972,1160063888149,1702128177
1160064139498,1161784283466,1720143968
1161784418123,1163675129390,1890711267
1163675246896,1165445778805,1770531909
1165445936842,1167360628101,1914691259
1167361098693,1169162151152,1801052459
1169162407306,1170834972758,1672565452
1170835153939,1172641256810,1806102871
1172641754730,1174532644371,1890889641
1174532761656,1176377732271,1844970615
1176377880301,1178273537415,1895657114
1178273785694,1179996547853,1722762159
1179996705377,1181705159972,1708454595
1181705291638,1183559337479,1854045841
1183559660375,1185178411077,1618750702
1185178572331,1186694906620,1516334289
1186695897670,1188228929719,1533032049
1188229190634,1189772420545,1543229911
1189772541483,1191290168309,1517626826
1191290286174,1192936154447,1645868273
1192936298650,1194704453185,1768154535
1194704987173,1196380851568,1675864395
1196381117555,1197933884633,1552767078
1197934274609,1199499158040,1564883431
1199499292982,1201300585106,1801292124
1201300750631,1203106913072,1806162441
1203107286812,1204969006297,1861719485
1204969264470,1206697498465,1728233995
1206697637118,1208535423422,1837786304
1208535589533,1210303353592,1767764059
1210303814525,1212028329907,1724515382
1212028500560,1213885945186,1857444626
1213886447523,1215607111011,1720663488
1215607245850,1217387177320,1779931470
1217387437407,1219291966310,1904528903
1219292223965,1220998817951,1706593986
1220999071594,1222790614945,1791543351
1222791137345,1224674151641,1883014296
1224674422977,1226502617077,1828194100
1226502774321,1228453636105,1950861784
1228453876044,1230177712961,1723836917
1230177851000,1231920495904,1742644904
1231920977009,1233791446513,1870469504
1233791569930,1235668615436,1877045506
1235668855486,1237394360237,1725504751
1237394696054,1239119867643,1725171589
1239121077838,1240998641131,1877563293
1240998789130,1242707705841,1708916711
