Start (ns),Stop (ns),Duration (ns)
64362056332674,64362374448069,318115395
64362376088203,64362884542894,508454691
64362888430949,64363384841387,496410438
64363388341911,64363894892925,506551014
64363897472083,64364405463230,507991147
64364409689214,64364914815342,505126128
64364919231362,64365445460378,526229016
64365450182816,64365944644680,494461864
64365945738388,64366465178634,519440246
64366469043188,64367134641802,665598614
64367139400222,64367684684747,545284525
64367686782422,64368174714232,487931810
64368177159526,64368714524309,537364783
64368716621745,64369224259699,507637954
64369224980090,64369754578524,529598434
64369756723089,64370266777728,510054639
64370268851083,64370778667607,509816524
64370780681610,64371290871463,510189853
64371292951508,64371804437687,511486179
64371806565368,64372324582751,518017383
64372326746494,64372868450480,541703986
64372870467946,64373394743035,524275089
64373396683484,64374094509621,697826137
64374096688931,64374694979848,598290917
64374696932373,64375364258419,667326046
64375365519016,64375764560446,399041430
64375766798403,64376274447426,507649023
64376277484267,64376785572506,508088239
64376787492734,64377344743094,557250360
64377346021605,64377824769203,478747598
64377826823318,64378356290521,529467203
64378357463723,64378854487488,497023765
64378856507886,64379364558439,508050553
64379366590370,64379874365077,507774707
64379876477235,64380384735097,508257862
64380387046010,64380916723402,529677392
64380918929033,64381414573093,495644060
64381416625516,64381914381518,497756002
64381916360605,64382435410978,519050373
64382436109445,64383317421056,881311611
64383319680397,64383814594764,494914367
64383816914719,64384264527450,447612731
64384266868760,64384774485818,507617058
64384778777017,64385294088978,515311961
64385295566087,64385804401135,508835048
64385808246053,64386314120948,505874895
64386317659995,64386824471860,506811865
64386827235806,64387324484638,497248832
64387326600254,64387853882894,527282640
64387854629792,64388364486887,509857095
64388366743042,64388874006665,507263623
64388874847650,64389384462648,509614998
64389385622649,64389893987912,508365263
64389895240511,64390414062821,518822310
64390415783000,64391104566240,688783240
64391105946840,64391644464988,538518148
64391646743319,64392154136213,507392894
64392155624642,64392705200520,549575878
64392706236896,64393224578848,518341952
64393226954758,64393973987983,747033225
64393975458005,64394364050978,388592973
64394366601293,64394918299629,551698336
64394922472763,64395374200625,451727862
64395376085674,64395884275049,508189375
64395884924275,64396394160691,509236416
64396395736034,64396903829501,508093467
64396904346731,64397424418259,520071528
64397426431753,64397924291501,497859748
64397928307823,64398444252019,515944196
64398448336155,64399114529845,666193690
64399116890966,64399634080195,517189229
64399634695146,64400135053957,500358811
64400137245264,64400739873570,602628306
64400741981006,64401238800801,496819795
64401239472094,64401754364797,514892703
64401756486575,64402264156677,507670102
64402266672446,64402774003038,507330592
64402774959921,64403284241515,509281594
64403286556030,64403794086482,507530452
64403795734898,64404304223739,508488841
64404306601140,64404814103991,507502851
64404816119780,64405314589322,498469542
64405315451922,64405824456335,509004413
64405827268044,64406343810785,516542741
64406344497656,64407236111313,891613657
64407236741467,64407764339694,527598227
64407766779770,64408284153024,517373254
64408286016025,64408794164080,508148055
64408796334308,64409313851814,517517506
64409314831998,64409824414866,509582868
64409826482425,64410364203549,537721124
64410366276405,64410864067264,497790859
64410864829551,64411384395787,519566236
64411386553321,64411894634222,508080901
64411896730291,64412414223821,517493530
64412416358545,64412914148064,497789519
64412916058416,64413434144400,518085984
64413436309133,64414053974864,617665731
64414054602902,64414444218642,389615740
64414446093357,64415138597626,692504269
