frame.time_epoch,ip.src,ip.dst,frame.protocols,frame.len
1686116801.855369000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,148
1686116801.856003000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,204
1686116801.871428000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686116801.901434000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686116801.909406000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686116802.370499000,89.248.163.246,10.184.0.7,sll:ethertype:ip:tcp,60
1686116802.370513000,10.184.0.7,89.248.163.246,sll:ethertype:ip:tcp,60
1686116802.431571000,10.184.0.7,169.254.169.254,sll:ethertype:ip:udp:ntp,96
1686116802.431784000,169.254.169.254,10.184.0.7,sll:ethertype:ip:udp:ntp,96
1686116802.644943000,89.248.163.246,10.184.0.7,sll:ethertype:ip:tcp,60
1686116803.475806000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116803.475807000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,188
1686116803.475859000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp,72
1686116803.476011000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,102
1686116803.476022000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,122
1686116803.476052000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,123
1686116803.476295000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,84
1686116803.476303000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,612
1686116803.476406000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,92
1686116803.476407000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,84
1686116803.476407000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,72
1686116803.476411000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp,102
1686116803.476509000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,84
1686116803.479228000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,102
1686116803.479289000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,72
1686116803.479327000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116803.480423000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116803.480441000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp,72
1686116803.480452000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,102
1686116803.522117000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,72
1686116803.992201000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp:ssh,108
1686116803.992376000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,260
1686116804.017763000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,80
1686116804.017775000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,80
1686116804.017785000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686116804.017934000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp:http,355
1686116804.017947000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686116804.019334000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,151
1686116804.019336000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,151
1686116804.019346000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,151
1686116804.019347000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,151
1686116804.019354000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,151
1686116804.019355000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,151
1686116804.019361000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp:data,151
1686116804.019452000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.019712000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.019713000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,936
1686116804.019727000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp,72
1686116804.019794000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.019795000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,936
1686116804.019802000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116804.019804000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116804.019809000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.019819000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.019820000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116804.019907000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,102
1686116804.019914000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,122
1686116804.019934000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,102
1686116804.019942000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,122
1686116804.020021000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.020025000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,153
1686116804.020068000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.020071000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,153
1686116804.020270000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.020383000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.020419000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.020419000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.020420000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,936
1686116804.020420000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.020427000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,72
1686116804.020459000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.020461000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,72
1686116804.020476000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,936
1686116804.020478000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,72
1686116804.020498000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.020502000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,72
1686116804.020513000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,102
1686116804.020516000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.020516000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,936
1686116804.020517000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.020517000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.020519000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp,72
1686116804.020519000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,122
1686116804.020521000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp,72
1686116804.020522000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp,72
1686116804.020525000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,123
1686116804.020588000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.020588000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,936
1686116804.020593000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp,72
1686116804.020595000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,102
1686116804.020597000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,102
1686116804.020601000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,122
1686116804.020605000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.020620000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,102
1686116804.020625000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,122
1686116804.020665000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,102
1686116804.020668000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,123
1686116804.020673000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,122
1686116804.020721000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.020721000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.020721000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.020726000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,102
1686116804.020731000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,123
1686116804.020733000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,153
1686116804.020762000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.020799000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.020814000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,102
1686116804.020892000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.021943000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp:data,145
1686116804.021955000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,145
1686116804.021965000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,145
1686116804.021973000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,145
1686116804.021981000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,145
1686116804.021990000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,145
1686116804.021993000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,145
1686116804.022089000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.022090000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.022090000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.022090000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.024495000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp:data,143
1686116804.024498000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,143
1686116804.024505000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,143
1686116804.024509000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,143
1686116804.024514000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,143
1686116804.024542000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,143
1686116804.024548000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,143
1686116804.024601000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.024677000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,612
1686116804.024678000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.024678000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,612
1686116804.024688000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,612
1686116804.024707000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,612
1686116804.024717000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,612
1686116804.024752000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,612
1686116804.024933000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp:data,102
1686116804.024942000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp:data,132
1686116804.024974000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,143
1686116804.025107000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,612
1686116804.025984000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp:data,214
1686116804.026237000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,585
1686116804.026255000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,583
1686116804.026259000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,583
1686116804.026275000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,583
1686116804.026280000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,585
1686116804.026290000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,583
1686116804.026620000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.026657000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,4198
1686116804.026658000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.026665000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp,72
1686116804.026671000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.026671000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.026673000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp,72
1686116804.026701000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.026704000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116804.026706000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,1382
1686116804.026721000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,102
1686116804.026727000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,122
1686116804.026732000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,7112
1686116804.026734000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,123
1686116804.026761000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,102
1686116804.026764000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,122
1686116804.026768000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.026769000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.026770000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,11336
1686116804.026776000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp,72
1686116804.026798000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,1382
1686116804.026798000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,4198
1686116804.026798000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116804.026799000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.026799000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,1382
1686116804.026802000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,72
1686116804.026828000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,102
1686116804.026832000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,122
1686116804.026843000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,4198
1686116804.026843000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.026844000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.026844000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.026847000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp,72
1686116804.026852000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116804.026855000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,102
1686116804.026861000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,122
1686116804.026864000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,102
1686116804.026867000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,122
1686116804.026891000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,4296
1686116804.026892000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,4296
1686116804.026892000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,1480
1686116804.026894000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,12744
1686116804.026896000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp,72
1686116804.026898000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp,72
1686116804.026902000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp,72
1686116804.026903000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,123
1686116804.026910000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,102
1686116804.026914000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,122
1686116804.027015000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,123
1686116804.027018000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,123
1686116804.027019000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,123
1686116804.027137000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.027138000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,7112
1686116804.027139000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,7112
1686116804.027140000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.027140000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.027140000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,1480
1686116804.027142000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,18376
1686116804.027142000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.027157000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,72
1686116804.027161000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,72
1686116804.027163000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116804.027165000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp,72
1686116804.027167000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116804.027176000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,7112
1686116804.027177000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,1480
1686116804.027179000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,123
1686116804.027193000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,72
1686116804.027206000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,4296
1686116804.027206000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.027206000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.027206000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.027207000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,1480
1686116804.027208000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,9928
1686116804.027208000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.027208000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,4296
1686116804.027211000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp,72
1686116804.027216000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,72
1686116804.027219000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp,72
1686116804.027221000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116804.027223000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116804.027234000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,72
1686116804.027234000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,4296
1686116804.027235000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,4296
1686116804.027236000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,25416
1686116804.027236000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.027237000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,1480
1686116804.027239000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116804.027242000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp,72
1686116804.027243000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp,72
1686116804.027244000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp,72
1686116804.027278000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,7112
1686116804.027278000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,4296
1686116804.027279000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,8520
1686116804.027279000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.027279000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp,72
1686116804.027282000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,7112
1686116804.027283000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,4296
1686116804.027283000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.027286000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp,72
1686116804.027288000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp,72
1686116804.027290000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp,72
1686116804.027293000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,72
1686116804.027296000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116804.027297000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,72
1686116804.027299000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,4296
1686116804.027300000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,72
1686116804.027355000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.027360000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,14152
1686116804.027360000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.027361000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.027364000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,12744
1686116804.027368000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116804.027370000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,72
1686116804.027373000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp,72
1686116804.027429000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,72
1686116804.027515000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,8520
1686116804.027515000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,2888
1686116804.027517000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,35272
