Start (ns),Stop (ns),Duration (ns)
581440344452,581472036361,31691909
581473872112,581500480641,26608529
581502272450,581531098763,28826313
581532817340,581556977892,24160552
581558728312,581583480207,24751895
581585222606,581610853490,25630884
581612526478,581636657734,24131256
581638458605,581661757044,23298439
581663395120,581687225634,23830514
581688830657,581712433324,23602667
581714222493,581738250815,24028322
581739256330,581762282388,23026058
581763374570,581787659109,24284539
581788609656,581811350648,22740992
581812319416,581834260551,21941135
581835297409,581857022230,21724821
581858157013,581879889822,21732809
581880681102,581906002366,25321264
581906898566,581928505097,21606531
581929272924,581950709309,21436385
581951460814,581973497139,22036325
581974287709,581998275971,23988262
581999821134,582020849057,21027923
582022731312,582043211756,20480444
582044738181,582065683924,20945743
582067555585,582088263594,20708009
582089775568,582108656747,18881179
582109453713,582129266869,19813156
582130156986,582149495327,19338341
582150311103,582169505048,19193945
582170312522,582196219631,25907109
582197745178,582217806787,20061609
582219764807,582246790033,27025226
582248252396,582267402054,19149658
582268282113,582288761757,20479644
582289561702,582308710480,19148778
582309493583,582328606809,19113226
582329418392,582348064198,18645806
582348835374,582368708205,19872831
582370138790,582390992414,20853624
582392938714,582414119258,21180544
582415556206,582438712760,23156554
582439680876,582459775733,20094857
582460674917,582479949941,19275024
582480722402,582499972098,19249696
582500778855,582520633240,19854385
582521405731,582541784690,20378959
582543258200,582564141889,20883689
582565624576,582593295504,27670928
582594136607,582613836360,19699753
582614622114,582634428412,19806298
582635219446,582654540630,19321184
582655412578,582674269429,18856851
582675143244,582693584134,18440890
582694394333,582713054056,18659723
582713857482,582741159368,27301886
582742018416,582762034496,20016080
582762977002,582783429691,20452689
582784280721,582805799988,21519267
582806616206,582825797757,19181551
582827083412,582847641063,20557651
582848444239,582867306893,18862654
582868088764,582888516231,20427467
582889327899,582906714543,17386644
582907490903,582926495623,19004720
582927266848,582946520545,19253697
582947292207,582967652343,20360136
582968425064,582988646637,20221573
582989431450,583009608627,20177177
583010386642,583028066972,17680330
583028832740,583048414397,19581657
583049192039,583068159426,18967387
583069023277,583088531098,19507821
583089298744,583108211979,18913235
583109104223,583128713355,19609132
583129480926,583147984141,18503215
583148867354,583167858923,18991569
583168739217,583187888756,19149539
583188644211,583208468035,19823824
583209305187,583229292074,19986887
583230132346,583248738044,18605698
583249562739,583268185524,18622785
583269064053,583288917017,19852964
583289681085,583308605912,18924827
583309348247,583328016094,18667847
583328757790,583348657529,19899739
583349395034,583368297238,18902204
583369078065,583389152682,20074617
583390100277,583423382212,33281935
583424191301,583445026944,20835643
583445857384,583464526794,18669410
583465318244,583484797945,19479701
583485560008,583503407637,17847629
583504151565,583523390496,19238931
583524238212,583543672556,19434344
583544542621,583563972937,19430316
583564739435,583583228746,18489311
583585111737,583611345803,26234066
583612169978,583630404538,18234560
583631178793,583656835040,25656247
