Start (ns),Stop (ns),Duration (ns)
1405836049839,1405877238255,41188416
1405877477117,1405897899983,20422866
1405898032369,1405942304383,44272014
1405942424555,1405987164643,44740088
1405987302754,1406019610542,32307788
1406019772378,1406045187588,25415210
1406045537679,1406072181597,26643918
1406072549887,1406097906534,25356647
1406098255203,1406121200306,22945103
1406121395827,1406142488068,21092241
1406142661313,1406164357072,21695759
1406164674798,1406183520448,18845650
1406183794021,1406203784180,19990159
1406204020544,1406225428761,21408217
1406225692894,1406245733901,20041007
1406245970079,1406266698287,20728208
1406266917680,1406289148681,22231001
1406289268389,1406310714939,21446550
1406310833542,1406332439137,21605595
1406332598428,1406353455181,20856753
1406353605603,1406377389971,23784368
1406377640563,1406395750874,18110311
1406395884362,1406417710980,21826618
1406417840924,1406437849788,20008864
1406438146826,1406459534537,21387711
1406459776138,1406481046418,21270280
1406481199480,1406502397529,21198049
1406502691693,1406523284542,20592849
1406523511189,1406544326414,20815225
1406544549692,1406565669419,21119727
1406565915072,1406587966726,22051654
1406588238574,1406609845338,21606764
1406610001573,1406630534655,20533082
1406630655783,1406652314678,21658895
1406652528482,1406673325032,20796550
1406673478321,1406694780754,21302433
1406694913982,1406715010578,20096596
1406715246405,1406736048630,20802225
1406736273677,1406758195550,21921873
1406758408256,1406779222994,20814738
1406779449169,1406802572156,23122987
1406802705279,1406819149981,16444702
1406819379195,1406838220917,18841722
1406838484378,1406855585081,17100703
1406855805875,1406874539899,18734024
1406874765305,1406893101497,18336192
1406893331561,1406907083496,13751935
1406907303027,1406921455082,14152055
1406921679967,1406935882797,14202830
1406936119981,1406958493036,22373055
1406958748745,1406976143132,17394387
1406976418711,1406990464560,14045849
1406990584824,1407004097581,13512757
1407004215066,1407016462566,12247500
1407016570927,1407029703492,13132565
1407029814283,1407044370670,14556387
1407044492126,1407059194389,14702263
1407059313428,1407074833692,15520264
1407074943552,1407089050563,14107011
1407089174366,1407102980538,13806172
1407103098846,1407116503010,13404164
1407116735190,1407130538293,13803103
1407130761574,1407144694981,13933407
1407144924679,1407158264397,13339718
1407158504218,1407172386301,13882083
1407172616050,1407187206346,14590296
1407187324088,1407200614157,13290069
1407200835565,1407215794052,14958487
1407215919798,1407228483870,12564072
1407228710998,1407242742391,14031393
1407242858029,1407255733820,12875791
1407255951832,1407271152752,15200920
1407271515480,1407285771729,14256249
1407285888810,1407299183816,13295006
1407299298297,1407312554948,13256651
1407312662541,1407325081171,12418630
1407325195195,1407338050836,12855641
1407338310889,1407352588839,14277950
1407352715469,1407366021267,13305798
1407366162572,1407378858784,12696212
1407379090760,1407393352859,14262099
1407393480900,1407406100534,12619634
1407406329519,1407418316023,11986504
1407418428431,1407431802927,13374496
1407431911083,1407444020291,12109208
1407444133872,1407456897106,12763234
1407457007175,1407469539689,12532514
1407469649133,1407481750636,12101503
1407481866345,1407494272777,12406432
1407494383271,1407507029966,12646695
1407507253143,1407520371013,13117870
1407520596761,1407535976220,15379459
1407536211606,1407550466334,14254728
1407550696475,1407566310326,15613851
1407566416379,1407579892396,13476017
1407580005936,1407593338117,13332181
1407593451289,1407605020258,11568969
1407605241251,1407622983867,17742616
1407623307698,1407639398939,16091241
1407639513655,1407654810230,15296575
