Start (ns),Stop (ns),Duration (ns),CID
6068785818680,6069040985438,255166758,QmYqVhPjSKJbSvoe32LxFF29xPFC18p1tfHCo7BfXrkPwA
6072049649762,6072213463616,163813854,QmV6dG1ZPLcB461PWuA7JBn1Nua62bdRMt48hCZWeavtse
6075220922605,6075772759487,551836882,QmQ4bxvrXHVAo94MGx4vQcmSHLvuXNKaokYWGFokTvfoXz
6078779050303,6079187566103,408515800,QmYG2YVHBgP8htUEwmfaSj6cidog9GEkad9Kr61J4CxPeA
6082195290193,6082539999413,344709220,QmV9Uo6SFrWWFdjdavKksycxCqndaftBmdapJPxXALyfkv
6085545166910,6085930286715,385119805,QmbsxFg68gJBHLzyduS4paY4rLHfumBc2qS5syn94isZ22
6088936314681,6089510790094,574475413,QmZ4Fmg2LGnW5Vxsf83SeTt3XhevkT5GyQjL4Z4iGggtuZ
6092518250903,6092947981106,429730203,QmPejbqGWskm1oeqgMMhHC8K2oktVo6PgrFhdJ6YqFU9Fv
6095954011165,6097003230017,1049218852,QmeLgGF188NHbhXnwa6VWfvLcVu1wuQL33fk6iEDYtW7cG
6100009648290,6100308834772,299186482,QmaNPKxWHMsD5E8fGzLkq7RCQKrJuwJ57JcCJxMXNmddXJ
6103314646944,6103674199346,359552402,QmXhDyXLjM3Szyex2Mz1K7Lya5M8Byg23tNTEyyznfJFXG
6106680130453,6107330477832,650347379,QmPjQS5sNFmtiQn4QG9cVm3CcfpnJE1MmJ7tMK57bqRuKh
6110336168844,6110795392449,459223605,QmZ953cnw9GyX7hXGee8fQZ1uzSm93uVWD7GoHDMeVjNqA
6113801950505,6114161972439,360021934,QmaLJtRAwxCKwmL3KWYNyyZvNBK7XZo8dzXtJasgRvPBGB
6117165733568,6117590305546,424571978,QmVkGySwaCmkbdM2Jo74rz6wnG3tSjvZkwFUc8GepefMnC
6120595765100,6120928597778,332832678,QmVnhaQtXqBdYD8mcXDjKZxfzB4XynR1Zanpu8BKoqeidY
6123933553076,6124678432913,744879837,QmW9hKDoT9Y9BaKqWZKDCGuBrMt5MTMktiUF8BRgURg3Bz
6127683999943,6128729053755,1045053812,QmNt8qtmfq2TSRtvtQDArCJrdZBW5hH4cfFd371usRrdVB
6131737482845,6132483162718,745679873,QmXAuRHxvNZ5YwKArEf9Vi1iFuCMhSyUAfoWe73VVSX8HD
6135489043767,6136098985127,609941360,QmPu46RBJr5ewRSz8vsHt9zRDxypaL127QWQZBb74NbpD4
