frame.time_epoch,ip.src,ip.dst,frame.protocols,frame.len
1686103917.415418000,10.184.0.7,125.160.228.36,sll:ethertype:ip:tcp:ssh,148
1686103917.415966000,10.184.0.7,125.160.228.36,sll:ethertype:ip:tcp:ssh,204
1686103917.419100000,125.160.228.36,10.184.0.7,sll:ethertype:ip:tcp,72
1686103917.438702000,125.160.228.36,10.184.0.7,sll:ethertype:ip:tcp,72
1686103917.438808000,125.160.228.36,10.184.0.7,sll:ethertype:ip:tcp,72
1686103921.154928000,162.142.125.230,10.184.0.7,sll:ethertype:ip:tcp,64
1686103921.154947000,10.184.0.7,162.142.125.230,sll:ethertype:ip:tcp,60
1686103922.672417000,125.160.228.36,10.184.0.7,sll:ethertype:ip:tcp:ssh,116
1686103922.672641000,10.184.0.7,125.160.228.36,sll:ethertype:ip:tcp:ssh,124
1686103922.688542000,125.160.228.36,10.184.0.7,sll:ethertype:ip:tcp,72
1686103923.446733000,10.184.0.7,224.0.0.251,sll:ethertype:ip:udp:mdns,81
1686103923.446758000,,,sll:ethertype:ipv6:udp:mdns,101
1686103923.446789000,10.184.0.7,224.0.0.251,sll:ethertype:ip:udp:mdns,526
1686103923.446807000,,,sll:ethertype:ipv6:udp:mdns,546
1686103923.446826000,10.184.0.7,224.0.0.251,sll:ethertype:ip:udp:mdns,526
1686103923.446833000,,,sll:ethertype:ipv6:udp:mdns,546
1686103924.162579000,125.160.228.36,10.184.0.7,sll:ethertype:ip:tcp,72
1686103924.162594000,10.184.0.7,125.160.228.36,sll:ethertype:ip:tcp,72
1686103924.190753000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,147
1686103924.191703000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp,72
1686103924.191704000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,107
1686103924.191800000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,143
1686103924.192023000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,107
1686103924.192119000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,227
1686103924.194525000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,153
1686103924.194649000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp,72
1686103924.194702000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,107
1686103924.194835000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,607
1686103924.197217000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,607
1686103924.239307000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686103925.480218000,125.160.228.36,10.184.0.7,sll:ethertype:ip:tcp:ssh,116
1686103925.480441000,10.184.0.7,125.160.228.36,sll:ethertype:ip:tcp:ssh,164
1686103925.498670000,125.160.228.36,10.184.0.7,sll:ethertype:ip:tcp,72
1686103926.215338000,125.160.228.36,10.184.0.7,sll:ethertype:ip:tcp:ssh,108
1686103926.215720000,10.184.0.7,125.160.228.36,sll:ethertype:ip:tcp:ssh,124
1686103926.238575000,125.160.228.36,10.184.0.7,sll:ethertype:ip:tcp,72
1686103926.238829000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,80
1686103926.238836000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,80
1686103926.238842000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686103926.238932000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp:http,355
1686103926.238938000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686103926.240275000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,151
1686103926.240634000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686103926.240634000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,184
1686103926.240647000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686103926.240658000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686103926.240660000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686103926.240661000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
