Start (ns),Stop (ns),Duration (ns),CID
6430932309681,6431165039213,232729532,QmTacv3iXeQZVXAF3WnWPJNhtZgcKgpHGXyMThzjDHoEVJ
6434173555932,6434411558121,238002189,QmWNRoq2iMxxgLfU5vKzD8Dk6KyC62Qu53JgPKcby5L9wT
6437420077773,6437873139555,453061782,QmYGFAnXUTiLX8TGVRh9Cv2Yw6rUrqzXmV4piKVpeGmwL8
6440879608376,6441368935249,489326873,QmdKg9LUT4KqqZgMhHFuxaYZBja22vTrXofggwJjbE7Act
6444379185814,6444973415058,594229244,QmQ5G4Arcqs3uGAiAKqhCpj3WmrXeW4M4nax6ttz6Js9PW
6447978444707,6448556569304,578124597,QmcvpswoXVdyYuvJGRDqjMgMnjKU87dJbwMxssTdLkjHZh
6451562836778,6451984121937,421285159,QmczpqciyZg2t8gpAV5kof77f5JU8NRyzM1u3PemRe9xQr
6454990457887,6455647585142,657127255,QmbUfQcb6PrvDAd9KuJJWYXSHCWZRnYXeUt3eMAhkreDvX
6458653586947,6459318844756,665257809,QmcCQuW5MuwR5u6TsxjNbXqnfHSRKcf6VDTNZgc3JQVqKV
6462326625362,6462814425281,487799919,QmNja8Z6KTZEqyucwwUPWYKZsAjKoVJ4V8JBffozzBBuuq
6465820412237,6466211866297,391454060,QmeyUogy9rhNokfgQy7y7xuEsoCQdP5X1UNUEMpViEFTB8
6469217738314,6469772096463,554358149,QmYWBVX26iiTCgUf1WhDNqYa2KRcJJEZL2Q6piBhRbyRd1
6472777962252,6473160614923,382652671,QmbGtW9UAZaLYZ9YN2jJt5WeBjG1jNeNvsQGmXsNbFbB82
6476165559083,6476638670566,473111483,QmY1JExFV1RNbj858YSW7kCVBbAxnUqumVTqPnpEJraZcZ
6479644339915,6480072068626,427728711,QmZec1HEKnAiFxvhBFJbRGv1vBsam2ziAKReJcCEFt2qeB
6483077737759,6483411906188,334168429,QmWrYADVmUyCNqPsN7bRJF66etS42ivQMwMCecQq2vb6VN
6486417703562,6486929386496,511682934,QmNPwBxYLFKCP4vpB2xek8ohPG7wY8VSpPKmgQXDmysjNx
6489943889741,6490552182325,608292584,QmPEwtdkPT4kXByUUoRnKiQZDSMa9gHhgWofTPX7jUpspw
6493557522685,6494179281062,621758377,QmZzbbajy2NTjapgLWY7rf6dA6DkYjNJLx275Dn1CJE7M3
6497185189629,6497768495568,583305939,QmcLTqVHEpLBoaLTi7V7ssLqTyJ8HSm6fcrm3LwnB58mkH
