Start (ns),Stop (ns),Duration (ns),CID
1182705238521,1182863734468,158495947,QmWFzD9pT28SsaFqgNJxRCfnAnvvA7nPhXHy711ZYWBxdb
1185869466777,1186035318655,165851878,QmQRPT2LVmtcLZd5kiFigdMoQowKFb3K46DJ9onrU2j99i
1189039410374,1189434898539,395488165,QmVZpGtksjZrXy6XSz8uwJ3CdMQADDJZFAP4YRd9BCzp9F
1192437826742,1192583958100,146131358,Qmbk4jyXRcsfdU3SmWUzPFAuRGZatZBWDmbq2npGCY8awJ
1195586664986,1195977924999,391260013,QmRBs3V5N7KgUmpxtDFkBxLuSTwnVTcV3m8tJ8DTm24qV4
1198980358913,1199166145272,185786359,QmRWgxnoi3vSC7q2V9d9U5PhDTCojgEif6TX21AkecBSBx
1202169826423,1202278206713,108380290,QmY5Gk6AktxMKo2SFTdP1rfnLeQQKmDCDXcWc5nHgfeSXc
1205282035148,1205412727413,130692265,QmSPA7dmJVEQjbs33SG6wkn2gU8ptbwTf11ME5YsWr7cRo
1208415361826,1208624613555,209251729,QmewsTiTtMwQc5tJL1gDfXutonXZWgutDBPH5n1mA62YNu
1211628240126,1211746470746,118230620,QmQJJiijZbeSDPmWjyeqv8EACS99JqxL5ehUia8n9WuJJK
1214750208579,1214909280567,159071988,QmWfqjmqf2pCVXNM7mPAN9nxHWqTyBeehiUgXhwqVAx2S8
1217913018565,1218103600812,190582247,QmXExy4uR6zxvGXXca4vH5xN8PQsLmPccpgSLQeNjn8twa
1221107143372,1221435290725,328147353,QmXrquGBsxyckb1fcbngF9zGK67nD1uBqYeSdT7wWR9PCB
1224437833198,1224755480765,317647567,Qma7PKMtNmHMq4pCEKQobGNiZT7Qdnrj8saDKeG5tRU7Ku
1227759048803,1227941311221,182262418,QmXVcbEXHVyCYe4G14ZM6KxBKcUFVFWPsgzhXmt6VManT5
1230944542805,1231234142604,289599799,QmPVNNcw8WPun3arNfoovRgQR2TkVRMszP7FqAk4axuVZu
1234241592751,1234795010394,553417643,QmS1J1kDoKnQu9CRnQkSN9LuXrEGojYiBnTQz4aYBt8fRA
1237797626851,1238114483282,316856431,QmQjGi9oy7zxsagqNTih8KuzvqqBPRTbivh9drGRQ5TkmT
1241117761802,1241631126315,513364513,QmSgumUkVuzhxg5qttFZ84no1xM2BLPZNNoWoXkCzVRWdV
1244633754541,1244875865636,242111095,QmXFgj5dSw1iFmSXFQD2TeinWDPoCGHxdd362N5AjTHjqb
1247879209643,1248253553348,374343705,QmQfvV2WnT7B6nusLwB3n8gaZSdZxxVttUg9Q2FmpKVL39
1251256883147,1251379587748,122704601,QmRR5CCQSa1JLSe6YzD5AgMg2NRp8Rcucgae9mwjx6KfvP
1254382884148,1254531151102,148266954,QmYYFAkkksvw1G9UcdUxFmfRz28QT4i3UC9kbZ8kJowdkh
1257534479772,1257813943251,279463479,QmTKB3wZGDokK6HDpXASgSQVkSHYkGfzCZ6fRiMV4gpppb
1260817460227,1260978208615,160748388,QmctVeK9kXu9C8QexDB79NF3rdHwtox3HGTXqyU9muri7G
1263981521094,1264120066416,138545322,QmQXv3Nkt61piHP3LZWxSYXVUJBmp8tiyPThga7rJPs7oQ
1267123454359,1267339877009,216422650,QmTH68oBWvBwSSj3Ktr59DJu4idZLn4ezuqhkbF6ryfXX7
1270343232874,1270524351867,181118993,QmX2dZBYU6HRo8UEYnq3wVyu37vao6nkZED4KRsTA9ph4d
1273528090255,1273727728845,199638590,QmfXNfBxmuz1xsbYtSTWwjXHZ74treUBdm9kjJy1CVLK95
1276730193422,1276978225497,248032075,QmcdkeziMQFi5Z6omjBLcHXS1aEHAaA2KAjN7pCA1E5tTg
1279981756910,1280258565398,276808488,QmaDBwdZP2YUTdVktCrdJ7SKdDTJfGThG9UNBkDNPt95C7
1283261903391,1283400224503,138321112,QmTZmQHfhcMf41o86EDY9Rof2FogfNQdwX2p2VxzAjzwxm
1286403469265,1286625043113,221573848,QmRJu5XH2zw6jXUtvFBqHQoYEDLakx89PmTzLufX6szkn4
1289628679837,1289777368272,148688435,Qmdwz7Zpp2gg8HQfd3wPhsU17HabwPX5ezTgWHny4JjuXM
1292780612576,1292961435912,180823336,Qmaa6PfSMXPcuY34LCEeG9bKiQd5gGTKriJraFxuTzjj8F
1295964736603,1296134167643,169431040,QmeZEg7Ezhb3dSfBxnybJVAQ6LFe4ry6ypuwQJ54jiTxF1
1299137552868,1299653202425,515649557,QmXBbMx6fxhXzXJM62KniELCCf4LTQNjpapAovAbgDeEnQ
1302656688256,1302959807507,303119251,QmPdcMX1p6FesqJYJ8JrDf3LHWWn1RGJepdgig3JDHUxzB
1305961719187,1306149037915,187318728,QmeCHcRa4REtpPE3eAfPEWirw9vMMEyCgHwhgMFzYA6Pzd
1309152425455,1309277752568,125327113,QmNnfUCAPtE9DLFUptw7nXG9bRsCfHj4bxhX1QXy2VzzaW
1312281130080,1312435936980,154806900,QmZ2YmRnFywyNYciA9nMHT1ThTixoL2PB1WuTsSRCp8CXr
1315439402983,1315596867190,157464207,QmRE4bamXPf8ojfRu2jyZqdJzqkFMo5qKxzbENZ4bGixii
1318600064338,1318768050268,167985930,QmW8Sxw8WF8F2kGbc7BLvg55NiGrrdo2xcoKo4ckqrjqkn
1321769742540,1321922976796,153234256,QmT7C6nPZLraGZYTqr1nSg11cRw7zd5y9nhKqQK6KvTKQJ
1324925800282,1325131402854,205602572,QmRLaYJGBV6nzfXCt8E6y5ajmdph3WNEHi9LsAqvZwY3KA
1328134868989,1328242120206,107251217,QmXsxickxM1U4SR7SDvuKxxvZyYNbwoJfboYzUk5FqJndR
1331245617830,1331392978645,147360815,QmVwabLtMGVfzTdhUeFfaSveRbkcQ1fFWveod77Wuj544L
1334396405910,1334777774335,381368425,QmNm8moPi7KG5geLhgAdK7Kj4kWzotYt9hB85ymnCFcsk6
1337781168783,1337941097688,159928905,QmbCbjiLTXen77WZJw765nMid9gjUrWhaQ4G2g3B2kuiqr
1340944235480,1341159017279,214781799,QmQTh1gcWaKojDWCMcNR6gJDdHYMfcHCx2pN8AdQ2gWxbf
