frame.time_epoch,ip.src,ip.dst,frame.protocols,frame.len
1686105053.723436000,10.184.0.7,125.160.228.36,sll:ethertype:ip:tcp:ssh,148
1686105053.724058000,10.184.0.7,125.160.228.36,sll:ethertype:ip:tcp:ssh,204
1686105053.746737000,125.160.228.36,10.184.0.7,sll:ethertype:ip:tcp,72
1686105053.746738000,125.160.228.36,10.184.0.7,sll:ethertype:ip:tcp,72
1686105056.561454000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686105056.561455000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,188
1686105056.561480000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686105056.561486000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686105056.561716000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,102
1686105056.561726000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,122
1686105056.562028000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp,72
1686105056.562033000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,158
1686105056.562138000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686105056.562184000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,102
1686105056.571355000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,102
1686105056.571436000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp,72
1686105056.571452000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686105056.572542000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686105056.572606000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686105056.572623000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,102
1686105056.614999000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp,72
1686105060.239593000,125.160.228.36,10.184.0.7,sll:ethertype:ip:tcp,72
1686105060.239610000,10.184.0.7,125.160.228.36,sll:ethertype:ip:tcp,72
1686105060.941389000,10.184.0.7,224.0.0.251,sll:ethertype:ip:udp:mdns,81
1686105060.941417000,,,sll:ethertype:ipv6:udp:mdns,101
1686105060.941432000,10.184.0.7,224.0.0.251,sll:ethertype:ip:udp:mdns,526
1686105060.941447000,,,sll:ethertype:ipv6:udp:mdns,546
1686105060.941522000,10.184.0.7,224.0.0.251,sll:ethertype:ip:udp:mdns,526
1686105060.941530000,,,sll:ethertype:ipv6:udp:mdns,546
