frame.time_epoch,ip.src,ip.dst,frame.protocols,frame.len
1686116614.480339000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp,122
1686116614.480339000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp,214
1686116614.480339000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480339000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,123
1686116614.480343000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,84
1686116614.480345000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,84
1686116614.480346000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,84
1686116614.480350000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,84
1686116614.480355000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,102
1686116614.480356000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,102
1686116614.480361000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,122
1686116614.480362000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,122
1686116614.480373000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp,72
1686116614.480383000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp,72
1686116614.480386000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,153
1686116614.480400000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,102
1686116614.480405000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,122
1686116614.480432000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480432000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp,152
1686116614.480436000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,153
1686116614.480438000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,153
1686116614.480442000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,72
1686116614.480444000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,295
1686116614.480467000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116614.480468000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,102
1686116614.480487000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp,102
1686116614.480488000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp,122
1686116614.480488000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,214
1686116614.480491000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,84
1686116614.480493000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,84
1686116614.480495000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,72
1686116614.480501000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,102
1686116614.480507000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,122
1686116614.480522000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480522000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480523000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,214
1686116614.480523000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116614.480528000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,84
1686116614.480530000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,72
1686116614.480535000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,123
1686116614.480563000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,102
1686116614.480569000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,122
1686116614.480587000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,122
1686116614.480591000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,102
1686116614.480595000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,123
1686116614.480616000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480619000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,102
1686116614.480678000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480746000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480748000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,153
1686116614.481697000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,151
1686116614.481775000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.481916000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116614.481952000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,4198
1686116614.481959000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116614.482009000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,102
1686116614.482014000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,122
1686116614.482030000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,200
1686116614.482103000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.482107000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,123
1686116614.483287000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,145
1686116614.483301000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,145
1686116614.483303000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp:data,145
1686116614.483304000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,102
1686116614.483311000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,145
1686116614.483319000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,145
1686116614.483320000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,145
1686116614.483327000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,145
1686116614.483376000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.483400000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.483401000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.483470000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.486553000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,4168
1686116614.486559000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686116614.486567000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,480
1686116614.486569000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686116614.486576000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,1615
1686116614.486577000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686116614.486599000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp:http:data:data:data-text-lines,77
1686116614.486601000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686116614.486611000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686116614.486630000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,143
1686116614.486648000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp:data,143
1686116614.486656000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,143
1686116614.486662000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,143
1686116614.486666000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,143
1686116614.486680000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,143
1686116614.486701000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,143
1686116614.486745000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.486746000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.486784000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,612
1686116614.486811000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,612
1686116614.486850000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,612
1686116614.486850000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,612
1686116614.486850000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,612
1686116614.486886000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,612
1686116614.486938000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686116614.486945000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686116614.487102000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,364
1686116614.488243000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,164
1686116614.492036000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.527276000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,72
1686116614.527278000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp,72
1686116614.527280000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp,72
1686116614.527281000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,72
1686116614.527283000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp,72
1686116614.527284000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116614.531444000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.539444000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.704455000,10.128.0.4,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.704567000,10.128.0.4,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116614.704572000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp,72
1686116614.704628000,10.128.0.4,10.184.0.7,sll:ethertype:ip:tcp:data,122
1686116614.704631000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp,72
1686116614.704763000,10.128.0.4,10.184.0.7,sll:ethertype:ip:tcp:data,123
1686116614.704766000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp,72
1686116614.705871000,10.128.0.4,10.184.0.7,sll:ethertype:ip:tcp:data,244
1686116614.705874000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp,72
1686116614.705962000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp:data,102
1686116614.705972000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp:data,122
1686116614.706032000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp:data,153
