Start (ns),Stop (ns),Duration (ns),CID
168655211500,168820442964,165231464,QmYNarLZzft1vGKL5oNLKh1WsqqAfrvCEtd2zuogS4LNDu
171825707301,172010051812,184344511,QmSxF3M9LH9BgVNZwbPUapDxQaAXZH7faNTJjE25aQiV1z
175014511536,175337922242,323410706,QmRpEigUV3pabrB5xsMRLN28254fdGBnV8HDNkRR9r4eHG
178341893912,178555118138,213224226,QmRDiJ87cvXzTtf5SiDUHo3YySZP3SEwYBXL7VUZUiYi9y
181558468634,181989517186,431048552,QmQoxPXu7StKsjCpugYZJEK9EQs3mXCGn1vPM8o7zmvbyi
184991822522,185148162315,156339793,Qmd9pZdmUZefAwiTnwiGYo1VqMvNx6TmxgBEWC7vViienN
188152488887,188426812194,274323307,QmS4jQPeQCDV6JZduifjrAzjerHatGMo6gYK3pfaEBy3vr
191430058424,191606239705,176181281,QmcVFWMMBPYcxBF8TdEyBbt6eQBGUQMNo8MAAj18EnaUjK
194610037701,194948656193,338618492,QmZNp9xZfrrzGCnP8FhbdJrecZTiek88ZGN5iQKVsmVkPP
197952226743,198144573038,192346295,QmaFR39EDMc2dZYSJQRKMb7guDUiuMNY7GE3kXpKdRNpV5
201148254893,201537930064,389675171,QmRBoYAM8VztsKfALuvKENCoeEHuRVDEKvaghCgbaab3jQ
204541815662,204698166251,156350589,QmaXKpYcRZk1N8X2srELepT2M7t4DMzXQbCVvX29E2mjv3
207701845883,208113944921,412099038,QmaQQ3v5xXz1idq7uBg2WSRhJRJQ7sUNevf8LZavr3Vse5
211117570183,211458036354,340466171,Qmds2sAheczXWT2nJBdLuRpg1U9jHeMvC7cJaUWB6tdS6d
214461709013,214782134115,320425102,QmPUwJJeaYKBaKurVovorW5VHfxt69EwvxssD9BEuGZoga
217785762776,218305984800,520222024,QmTpuBaoa5CUo4WJ1GAjqVgorVEKBuarzAq8f14632FoCg
221309757192,221646285484,336528292,QmenS3oRm7KJGeiSuobqumStczzVas26UKPZtFQfJuUKPV
224649724940,225334203493,684478553,QmNSAurk9V2q6e8A3pVz1AhfTGDyVowaCGngiiGL95btFm
228337655768,228581361524,243705756,QmUhJ41xwzpgaFYJjunsLLhMiwCBK7ujjHHzi4AFpEEBcr
231585704765,231814598163,228893398,QmaaMFWu9EqvsixjBHQBEVQxeg8tAKxDeFkpTyQKemPWW3
234817846236,235145189656,327343420,QmVM2mKEZd6FNQC7cGwQCrQe9oABzKQByWF8Wpt1Wc6vhc
238148631889,238405201915,256570026,QmNUChuN4A8mrBvSvSgUzALBrb7SBGow2DUKQYxvXERYwe
241408691802,241545691151,136999349,Qmcs5atFEKi7t1QDgaxFARoRCLNJf87rmDw8PDpVe4U4yp
