Start (ns),Stop (ns),Duration (ns),CID
5667862776828,5668243064031,380287203,QmNZRnEH7zuq61dfEjU7uAGLN7dTQnUEe283KE6DKAFsnN
5671255867867,5672314040355,1058172488,QmNWzXj1cXayirAH4m9U1H93jKAjeQGxEZDNT2bELdntx1
5675326062339,5675998664759,672602420,QmX8BYLEe5UibbMyZSXRgTAzy3kjDjCquEEFGjfXpDA1jF
5679003242795,5679488780934,485538139,QmW9FGmHHHTiKMHrYzH8vUAkzJ1owtxBmoHGCAzZT5Aqw3
5682501074250,5683138192056,637117806,QmV4EbadThJnouLjVzDUSkiBZFdSwxuGHcV7ntGwkShnXw
5686144609273,5686434407169,289797896,QmZfxVZMUbUBetG3CLfcHJ9wJTxqKMB5wWVsTEYmKF8dvx
5689440350309,5689804112621,363762312,QmeNFLt8DYnNPqbnwmLHXhCzvdz88EU2WZEjxgCPcKZiz8
5692811207678,5693854100602,1042892924,Qmcs2EoheW6gY38yFHmMhL6eG5QuV9nesef36ZoJH1L27w
5696860933129,5697159749243,298816114,QmQ3StJEBKYoX7kXwhPGh6K8EMGBqij6juWSqC2S5gD9Zp
5700165686137,5700518878093,353191956,QmchDePzghtHZ3FT5uNt9be1onixXEdMfjbonbX7gmNHJd
5703525046156,5703903572269,378526113,QmVbTcgbrPWrpXtAKHFqcnPydaUQF5NpMxWEpLFV158UjJ
5706915544433,5707436599252,521054819,QmeHsLvKTSiHQBdykCpa73j3fChzAyiNmqk2XgnnFCcnfC
5710441692122,5710936834042,495141920,QmVe7SB8hTLJZ2iYpSah7nsvLnoUvVLT9vN3wsJZXy8Vv1
5713941759245,5714686057955,744298710,QmSmFts1AB2m6FJMinBQaLu1mTt8Jod3CAAJ6npMGijGBC
5717692738348,5718036753831,344015483,Qmbp7gqV1guZrhfB8Km75aHfsm33RWdGRUCEXkekDLjNi4
5721041524326,5721485704363,444180037,QmbDQiGTde8Gg9vyB63KwLLpRSybYkZeWswouAx3h51jKw
5724489486542,5725459511166,970024624,QmTd3myBKL84dvyj6NvCZ1zVFHsU5JdWNAPih5ArZ5km9p
5728465142930,5728795346350,330203420,QmZZ6tPmxuRj9FYU2C9N8CFC5eQTLZQQy5sUETQd6fM5CC
5731801047544,5732188314478,387266934,QmXAztnr3CFHbSj8mUST1gxJczhjZiYtD7xoWxZzJzeDkg
5735196509572,5735872143296,675633724,QmNd1jp5UMmV1Ey7hdyJCtdAnHeV8187QEdsMkzGArB3vN
