Start (ns),Stop (ns),Duration (ns),CID
4558926815786,4560810488118,1883672332,QmYNarLZzft1vGKL5oNLKh1WsqqAfrvCEtd2zuogS4LNDu
4563838933380,4567701831189,3862897809,QmSxF3M9LH9BgVNZwbPUapDxQaAXZH7faNTJjE25aQiV1z
4570738585318,4573591055149,2852469831,QmRpEigUV3pabrB5xsMRLN28254fdGBnV8HDNkRR9r4eHG
4576635629968,4579915546720,3279916752,QmRDiJ87cvXzTtf5SiDUHo3YySZP3SEwYBXL7VUZUiYi9y
4582934846363,4585965538706,3030692343,QmQoxPXu7StKsjCpugYZJEK9EQs3mXCGn1vPM8o7zmvbyi
4588985855563,4592073065064,3087209501,Qmd9pZdmUZefAwiTnwiGYo1VqMvNx6TmxgBEWC7vViienN
4595112630356,4597633413505,2520783149,QmS4jQPeQCDV6JZduifjrAzjerHatGMo6gYK3pfaEBy3vr
4600666896504,4603793253341,3126356837,QmcVFWMMBPYcxBF8TdEyBbt6eQBGUQMNo8MAAj18EnaUjK
4606826194462,4610254739599,3428545137,QmZNp9xZfrrzGCnP8FhbdJrecZTiek88ZGN5iQKVsmVkPP
4613298844710,4616197987002,2899142292,QmaFR39EDMc2dZYSJQRKMb7guDUiuMNY7GE3kXpKdRNpV5
4619225052891,4620654240341,1429187450,QmRBoYAM8VztsKfALuvKENCoeEHuRVDEKvaghCgbaab3jQ
4623718676242,4627482297619,3763621377,QmaXKpYcRZk1N8X2srELepT2M7t4DMzXQbCVvX29E2mjv3
4630499324091,4634301368088,3802043997,QmaQQ3v5xXz1idq7uBg2WSRhJRJQ7sUNevf8LZavr3Vse5
4637337305797,4639035388525,1698082728,Qmds2sAheczXWT2nJBdLuRpg1U9jHeMvC7cJaUWB6tdS6d
4642075117506,4645318985272,3243867766,QmPUwJJeaYKBaKurVovorW5VHfxt69EwvxssD9BEuGZoga
4648352719993,4650478140398,2125420405,QmTpuBaoa5CUo4WJ1GAjqVgorVEKBuarzAq8f14632FoCg
4653517577193,4657143248070,3625670877,QmenS3oRm7KJGeiSuobqumStczzVas26UKPZtFQfJuUKPV
4660196233643,4662724103209,2527869566,QmNSAurk9V2q6e8A3pVz1AhfTGDyVowaCGngiiGL95btFm
4665758011540,4668366727546,2608716006,QmUhJ41xwzpgaFYJjunsLLhMiwCBK7ujjHHzi4AFpEEBcr
4671383840029,4675616018946,4232178917,QmaaMFWu9EqvsixjBHQBEVQxeg8tAKxDeFkpTyQKemPWW3
4678636375522,4684322389194,5686013672,QmVM2mKEZd6FNQC7cGwQCrQe9oABzKQByWF8Wpt1Wc6vhc
4687358016830,4691637066010,4279049180,QmNUChuN4A8mrBvSvSgUzALBrb7SBGow2DUKQYxvXERYwe
4694795164000,4700815508919,6020344919,Qmcs5atFEKi7t1QDgaxFARoRCLNJf87rmDw8PDpVe4U4yp
4703848308965,4709594691168,5746382203,QmQT45zfD944i1gmeNVAsAgdBqcfHSJrdzKsDcMB5jfFb9
4712623755023,4716803894123,4180139100,QmSUUsSrnrgRaqi1R9FnsNv8De8Q4Kt7eV9eCDE9N1is6n
4719841329924,4728594069373,8752739449,QmYMsK4iZdVq2CiUAiH5QnB2QKotzcDAyoq5VNpiHD3BpE
4731622550703,4740110146149,8487595446,QmY3t5xonJtMVPaYkMwkvLRAQeKAct6e91qwU3YuE79NDG
4743131415607,4748034954193,4903538586,QmQYkUYpu4UFU1mmQZ3kkAbzMpJ18XKXpFQVq3a5zQHH1P
4751081543248,4755386501592,4304958344,QmUDZfJ187gSodtS276jWipyxUZt57VyW9CGyZAoLardop
4758544023895,4764535653284,5991629389,QmeQ66F3L8CHUrQsFsZe8xbnhYR2LAf5SxM8MKifcAg2DZ
