Start (ns),Stop (ns),Duration (ns),CID
7244105950119,7244451590636,345640517,QmTqikQMYsn5JvfGAbnCAxPL4SN4K9ZE3PAXuWWTAxnR74
7247459663662,7248108202450,648538788,QmRA3EjeP9YmPSt1RVmeVJjVVR7sPCPM6pg5hkj3TS8Suq
7251116840334,7251805654279,688813945,QmWQcbP3qHMfMToYgfzgaVRxxyrspQ4cHqaCUCaV6p33Ru
7254812561547,7255204987582,392426035,QmbYWnUjnJLSbucXcAzNLwzs6eC4UijXB1Ss8Bt9P1c6Lu
7258213022210,7258654481692,441459482,QmceURYo9oshM3DBt6CXtzeKNhf6QmnmPyxvUkD9XnR7Mr
7261657852243,7262180036732,522184489,QmSPYCac1q8VCMHETvysW1H6WD8qwBVZjVxmz3ckJ8qTRk
7265185969546,7266012531556,826562010,QmQj1UnwYcuNcUhhGA1ERsC9tQVVY15vDsBNDbgvBD4A9G
7269018719559,7269452007900,433288341,QmSJ1teo9dArxoFM2wNE36Q7Qc88Tpj1AmqyYvZ4v8tPNb
7272458094274,7273001788630,543694356,QmTwtM9zKcHutg38gbz8hGxg8FLAGrMUazuA47K3djsZDP
7276005913077,7276244244899,238331822,QmT8TUBaQX2aFfgbAgWV7dbVr6BrPURPXHsTF3S1GmSV7G
7279250307231,7279798493355,548186124,QmUtZvW3JK66SG96EEbB923B5JbCXQZncaaR9SXBjp3PoM
7282804369552,7283800639917,996270365,QmZouJnmJX2KC7oJbMjLr38wMhimE7ZfkX7C2StR1ZiLma
7286806669774,7287296129969,489460195,QmbjQPEBejRFSoKcnTjGgDHXae7dyLRuDmv2JVTB8hoCJG
7290301484680,7290642320263,340835583,QmTPLouqszJHgSse7FYMqfS3PmxZpzKC8hpA8XwKELzMhf
7293648065321,7294228110631,580045310,Qmckw3sLfpvSxM18ZvYXTHGdBgW2uDA3hQR7AQUvdzSBNR
7297233636456,7297987149675,753513219,QmTegCocyroUoQYNZgtitwHieE6a7BXo2WRspWKhQUc2b9
7300993643839,7301359200561,365556722,QmSKNMuEbeMKP8rztk4pDEDgPjZjQP859xZEgkYF3BwUn5
7304365028020,7304817916164,452888144,QmaBDzubCfH4yntJ3KKDRAkF7JQ5afctU5fzGPofYaTdAP
7307827363715,7308424023765,596660050,QmW45AJdSP2wv3GGSNRhhz3VuWdyTnCT2QmGXAPmcUp2m3
7311432064367,7311724116718,292052351,QmQdR85E3VNqt3D9HJ8a8ybPtoBhz6p9pJshnqPm6NA74e
