frame.time_epoch,ip.src,ip.dst,frame.protocols,frame.len
1686073489.491586000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,148
1686073489.493196000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,204
1686073489.521128000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686073489.521130000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686073492.323451000,162.142.125.189,10.184.0.2,sll:ethertype:ip:tcp,64
1686073492.323476000,10.184.0.2,162.142.125.189,sll:ethertype:ip:tcp,60
1686073493.729737000,162.216.149.97,10.184.0.2,sll:ethertype:ip:tcp,64
1686073493.729761000,10.184.0.2,162.216.149.97,sll:ethertype:ip:tcp,60
1686073494.180263000,35.203.211.35,10.184.0.2,sll:ethertype:ip:tcp,64
1686073494.180288000,10.184.0.2,35.203.211.35,sll:ethertype:ip:tcp,60
1686073497.280456000,35.203.210.162,10.184.0.2,sll:ethertype:ip:tcp,64
1686073497.280480000,10.184.0.2,35.203.210.162,sll:ethertype:ip:tcp,60
1686073497.293351000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp:ssh,108
1686073497.294019000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,124
1686073497.319842000,10.184.0.2,169.254.169.254,sll:ethertype:ip:udp:dns,91
1686073497.319852000,10.184.0.2,169.254.169.254,sll:ethertype:ip:udp:dns,91
1686073497.322128000,169.254.169.254,10.184.0.2,sll:ethertype:ip:udp:dns,219
1686073497.322130000,169.254.169.254,10.184.0.2,sll:ethertype:ip:udp:dns,203
1686073497.322470000,10.184.0.2,172.253.118.95,sll:ethertype:ip:tcp,80
1686073497.323009000,172.253.118.95,10.184.0.2,sll:ethertype:ip:tcp,80
1686073497.323037000,10.184.0.2,172.253.118.95,sll:ethertype:ip:tcp,72
1686073497.328120000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686073497.337417000,10.184.0.2,172.253.118.95,sll:ethertype:ip:tcp:tls,589
1686073497.337517000,172.253.118.95,10.184.0.2,sll:ethertype:ip:tcp,72
