Start (ns),Stop (ns),Duration (ns),CID
9668978213631,9672101232837,3123019206,QmXSUy3Pd5waT9kANSHx3KTZbbsoDVXak5J6mHd5wMCvAN
9675117143434,9679789103686,4671960252,QmZCSDptJaWGpFxdKAjC2NugimQXVzt7s7W4nL6RmK3DUY
9682807580285,9686420360667,3612780382,Qmesf2NtVCzK7tRJbJUUbCa7Ea11ZW67o5CL8fFv6DTKKU
9689439540832,9693314388403,3874847571,QmYo8tpwm44GzWsunhoS79T6i8QcsA6KjcEje1EZEPnA59
9696330651176,9703608059314,7277408138,QmTYLbsyNdvp6QMvfwG6ssXghNk9ErNWVKpVuKCWSHEfY8
9706622740692,9710730628969,4107888277,QmbaeEKJHJuwgJjsU79qP77ZoG7QRhra9KSRCcgDSKDp56
9713748034290,9723001169523,9253135233,QmWBhGa2wLqXd9HkDNqFjnyrcwBC2AFFG71K2PwmLmBV4d
9726018071183,9732463547613,6445476430,Qmab1EvR3Bh5svwCSLWjh9acMrrFAoyWmC9DcfLmfYJySQ
9735479231334,9751840181303,16360949969,QmXDwDGxUC3vMBk61Dts7HjfQEqsTuASgwsZihPoREVKMk
9754859397289,9759738361682,4878964393,QmcsCM8KBXo6W9ZSxq6MDb9S1Lv72wtmC8RCD69FC5V4MG
9762754920815,9768113082045,5358161230,QmSn44KVmKhWpzkpddjACx797YyYXNgWdsTcN5W4HJtMVR
9771142937161,9775563453864,4420516703,QmSyCAcMcaVLwJsvJdWkK4Nei5pzYZuXQpPUeUmKG3gBXS
9778578640667,9784913899563,6335258896,Qmagn8Q6HCveG9b1CfYydSoghdDtBEyvjz6z8wm1oSEsk2
9787926766077,9803470535174,15543769097,QmVomUYmouBzw694xWs9aGSBZSHyfRYPjP25AXHtXT6gEd
9806483651207,9818255755899,11772104692,QmUwyFXSsheE57sjUGQUqkH1LsMgu5bAr2qErJPiVAEy1n
9821270174061,9824253070977,2982896916,QmZJkxwiMrUANebQhdG6XvYuemcKDg5tueCRWTnpC27Fse
9827267058260,9832421695827,5154637567,Qmcyc6jo7Um9WfrmfaA2XH9Fr7BJWSFuNqoG264NBBrhPQ
9835435174266,9843208120166,7772945900,QmZmP9ukVjin5Xy9Ant5HdAe8zpGv4fMw4qTnrn4hP2Jrb
9846223340654,9855243819913,9020479259,QmZ3XBnngT8axWDw7YmPELcksaBFDd6K1bQ7CoEs2jGQUa
9858262381753,9864984665449,6722283696,QmNgXbdnPiiDwvQhUEc42iiYMBS2RW4pg7G6USM18kLAfR
