Start (ns),Stop (ns),Duration (ns),CID
2422107557306,2422296214823,188657517,QmQQPfA64vd68URVRasnmnkdeNfzKgV3DgmfT2ScZbziF2
2425300984939,2425460702364,159717425,QmWQ9GEdaodhuS5YnHp3WFSH84jvvoVcS8zWqmtPnurXpk
2428464561590,2428771422295,306860705,QmW77tjZctqLyNy3XcRiBwK2yn27jVqXpYmbAnB7bFhuVg
2431775738971,2432036667083,260928112,QmSWjm39g3P85btX7ikgahHxiAWyafJMjTnkZYejyd9Xi3
2435040353800,2435211216029,170862229,QmaCroBem53KFYVyVZnTfx5BjWPLf3u9hV9tJTyBWVCSGS
2438213319356,2438428381969,215062613,QmTJvz8kzfWoogkM11TFk3K1SmXejWsMp5mziUKmEA2YPw
2441430463873,2441627960355,197496482,QmWCU1nhZHuf6e2W3CkjB3xskcndyJwm6oZ4Qynxtm4yb9
2444632272206,2444723936582,91664376,QmdxKuW2xNXT6Ff4VsQuEMzbzBBBFQHadsrcDtK86tpu2n
2447733815249,2448028754155,294938906,QmZb2pfi7gAeu17AhVYiL82af4qRWACcCV9mTE9Y6AtF21
2451032385493,2451211843337,179457844,Qmf6GwNnQRNA2HQhMKDPHh3fogxa4JWgsiswCCU1nbmeg7
2454215770296,2454351511342,135741046,QmYgGgrUa5RQTP3h3jrJCw6cD3cr1fo7yuiwyMzhmimM1S
2457354958271,2457489175320,134217049,QmZJSwv5CkHrxtD3AFroa7AKzqfnzFmCv9Fmc8Lfpv4WqS
2460492770087,2460716803396,224033309,QmYC6TgQ9RRxfqBtu1zXY1myoG17S2tsGk21xwbtAkyGsz
2463719573634,2463915481162,195907528,QmTKjH45FU9aKfAgcdZBHB8pGPfkcxRtspLsAkFF9qfUvM
2466919191400,2467217580082,298388682,QmegEQGM95W5Noh3V3Hw7VWxxpt9eyBuFC7ae5ygH2gY5Z
2470221298408,2470431181310,209882902,QmViKzrVyJuj6MMtmsQ5KjkfErqZfR86Sd1gD7fnBXozqx
2473434961215,2473661351690,226390475,QmerFNp6qWLBFDBeeqFa9TbFrm84SoobEbm2tqEbkBrkGy
2476663579576,2476986493068,322913492,QmR7yKs87PoY6AQkG8r2Lo425nA1pmbwC6UB4pdoAPYUgt
2479991738521,2480313010628,321272107,QmZcmAgsFXWvbxz5Gvpmgx8CFHu7tvfJ1dqv7Lc5sXbj9N
2483318745077,2483843809441,525064364,QmWqT7fiEYkoDWt2SeV2WYCSBZoVtVvBZZ2BL5RDR23NUH
