Start (ns),Stop (ns),Duration (ns)
643291959335,643850237317,558277982
643865272478,644366694371,501421893
644377764429,644815850905,438086476
644827395353,645259866673,432471320
645271395839,645665156331,393760492
645676764085,646079329239,402565154
646090489224,646484855724,394366500
646496197031,646878495369,382298338
646889747482,647278346409,388598927
647289634905,647699455840,409820935
647710771269,648111697173,400925904
648123088582,648495431546,372342964
648511816924,648919357330,407540406
648931217549,649371598370,440380821
649383011637,649818896707,435885070
649833273783,650227430965,394157182
650238971422,650639073625,400102203
650655577032,651060780582,405203550
651076565619,651434478531,357912912
651450259003,651847921901,397662898
651860536564,652243177057,382640493
652254368742,652761136770,506768028
652772298933,653231837944,459539011
653243843054,653615643952,371800898
653627058382,654093837452,466779070
654105290652,654718519798,613229146
654729827770,656776646892,2046819122
656787787474,657242453605,454666131
657254018834,657715065529,461046695
657728038510,658166472046,438433536
658178113883,658556976827,378862944
658567956624,658940609799,372653175
658956418598,659365326811,408908213
659381051666,660314992983,933941317
660330563939,661298735562,968171623
661315231814,661684197585,368965771
661699761716,662103749430,403987714
662114768996,662510119890,395350894
662521055680,662935340464,414284784
662946686293,663338468391,391782098
663349378349,663745607682,396229333
663756977227,664122330480,365353253
664133391806,664518483736,385091930
664529734020,664904652862,374918842
664916119452,665313441015,397321563
665324896030,665736790314,411894284
665747774579,666159522636,411748057
666170674857,666740336951,569662094
666751548746,667168592359,417043613
667179959565,667573438612,393479047
667585464984,668146385596,560920612
668161980954,668547138825,385157871
668563241850,668941389541,378147691
668956636608,669461700294,505063686
669473097242,669848143404,375046162
669859418629,670395144707,535726078
670411591296,671015441519,603850223
671031517877,672959898851,1928380974
672975391963,673443917309,468525346
673455300013,673880593308,425293295
673891891725,674312537148,420645423
674323692314,674713872706,390180392
674725794075,675072534368,346740293
675083779369,675458649806,374870437
675469685400,676517672391,1047986991
676528850029,676949038975,420188946
676960139351,677369242807,409103456
677384663774,677783217393,398553619
677800317718,678221294690,420976972
678237441989,678665642952,428200963
678677177508,679057399345,380221837
679068510661,679440279999,371769338
679451182638,679831476741,380294103
679842859489,680197771798,354912309
680209092119,680574882945,365790826
680586089077,681000826560,414737483
681018567786,681415550277,396982491
681427630538,681971784476,544153938
681983614423,682320882747,337268324
682332040682,682706370198,374329516
682717609737,683263762672,546152935
683275050004,683683463120,408413116
683695190234,684082928955,387738721
684094928886,684636757639,541828753
684653252412,685058159011,404906599
685073796889,685606085769,532288880
685617092559,686016730588,399638029
686027736554,686417374254,389637700
686428883802,688680436572,2251552770
688691856552,689137680900,445824348
689149372731,689563466578,414093847
689574692720,689956589955,381897235
689967617891,690323343000,355725109
690334472662,690702827754,368355092
690714351426,691717065184,1002713758
691728188481,692457286762,729098281
692468383921,692924718264,456334343
692935903052,693337888103,401985051
693349719076,693734287409,384568333
693745497665,694102575072,357077407
