frame.time_epoch,ip.src,ip.dst,frame.protocols,frame.len
1686112946.975227000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,148
1686112946.975813000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,204
1686112946.991792000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686112947.008011000,79.124.59.254,10.184.0.7,sll:ethertype:ip:tcp,60
1686112947.008021000,10.184.0.7,79.124.59.254,sll:ethertype:ip:tcp,60
1686112947.021738000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686112947.029707000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686112947.305977000,79.124.59.254,10.184.0.7,sll:ethertype:ip:tcp,60
1686112948.401896000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp:ssh,108
1686112948.402084000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,260
1686112948.426004000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,80
1686112948.426012000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,80
1686112948.426019000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686112948.426103000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp:http,355
1686112948.426114000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686112948.427446000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,151
1686112948.427453000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,151
1686112948.428742000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686112948.428742000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,184
1686112948.428742000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686112948.428749000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp,72
1686112948.428759000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp,72
1686112948.428761000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp,72
1686112948.428898000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,102
1686112948.428904000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,122
1686112948.428925000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,123
1686112948.428986000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686112948.428987000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,184
1686112948.428987000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp,72
1686112948.428992000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp,72
1686112948.428995000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp,72
